tempo,real_s12,img_s12,s22
0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000
1.000000e-009,3.357610e-004,-4.460710e-003,1.669614e-005
2.000000e-009,1.450937e-003,-8.722165e-003,7.177496e-005
3.000000e-009,3.285842e-003,-1.265224e-002,1.616014e-004
4.000000e-009,5.759263e-003,-1.613356e-002,2.815484e-004
5.000000e-009,8.771741e-003,-1.906682e-002,4.261758e-004
6.000000e-009,1.220935e-002,-2.137352e-002,5.894310e-004
7.000000e-009,1.594783e-002,-2.299782e-002,7.648623e-004
8.000000e-009,1.985692e-002,-2.390770e-002,9.458394e-004
9.000000e-009,2.380476e-002,-2.409526e-002,1.125774e-003
1.000000e-008,2.766223e-002,-2.357626e-002,1.298328e-003
1.100000e-008,3.130705e-002,-2.238889e-002,1.457618e-003
1.200000e-008,3.462750e-002,-2.059185e-002,1.598381e-003
1.300000e-008,3.752579e-002,-1.826182e-002,1.716136e-003
1.400000e-008,3.992076e-002,-1.549047e-002,1.807298e-003
1.500000e-008,4.174999e-002,-1.238096e-002,1.869270e-003
1.600000e-008,4.297133e-002,-9.044324e-003,1.900495e-003
1.700000e-008,4.356358e-002,-5.595592e-003,1.900475e-003
1.800000e-008,4.352660e-002,-2.149949e-003,1.869756e-003
1.900000e-008,4.288061e-002,1.181002e-003,1.809875e-003
2.000000e-008,4.166501e-002,4.292752e-003,1.723283e-003
2.100000e-008,3.993643e-002,7.091057e-003,1.613236e-003
2.200000e-008,3.776645e-002,9.494684e-003,1.483662e-003
2.300000e-008,3.523877e-002,1.143765e-002,1.339021e-003
2.400000e-008,3.244616e-002,1.287090e-002,1.184132e-003
2.500000e-008,2.948718e-002,1.376339e-002,1.024017e-003
2.600000e-008,2.646280e-002,1.410254e-002,8.637241e-004
2.700000e-008,2.347305e-002,1.389409e-002,7.081657e-004
2.800000e-008,2.061382e-002,1.316136e-002,5.619625e-004
2.900000e-008,1.797386e-002,1.194396e-002,4.293022e-004
3.000000e-008,1.563213e-002,1.029600e-002,3.138162e-004
3.100000e-008,1.365554e-002,8.283938e-003,2.184787e-004
3.200000e-008,1.209713e-002,5.984001e-003,1.455296e-004
3.300000e-008,1.099480e-002,3.479456e-003,9.642400e-005
3.400000e-008,1.037049e-002,8.576817e-004,7.180819e-005
3.500000e-008,1.023000e-002,-1.792786e-003,7.152309e-005
3.600000e-008,1.056326e-002,-4.385158e-003,9.463337e-005
3.700000e-008,1.134516e-002,-6.837153e-003,1.394810e-004
3.800000e-008,1.253678e-002,-9.073527e-003,2.037605e-004
3.900000e-008,1.408713e-002,-1.102830e-002,2.846132e-004
4.000000e-008,1.593510e-002,-1.264663e-002,3.787363e-004
4.100000e-008,1.801180e-002,-1.388621e-002,4.825029e-004
4.200000e-008,2.024299e-002,-1.471833e-002,5.920895e-004
4.300000e-008,2.255169e-002,-1.512832e-002,7.036055e-004
4.400000e-008,2.486072e-002,-1.511565e-002,8.132213e-004
4.500000e-008,2.709522e-002,-1.469353e-002,9.172899e-004
4.600000e-008,2.918502e-002,-1.388800e-002,1.012460e-003
4.700000e-008,3.106675e-002,-1.273679e-002,1.095776e-003
4.800000e-008,3.268572e-002,-1.128766e-002,1.164759e-003
4.900000e-008,3.399739e-002,-9.596591e-003,1.217476e-003
5.000000e-008,3.496854e-002,-7.725725e-003,1.252585e-003
5.100000e-008,3.557799e-002,-5.741145e-003,1.269358e-003
5.200000e-008,3.581694e-002,-3.710622e-003,1.267688e-003
5.300000e-008,3.568883e-002,-1.701370e-003,1.248076e-003
