tempo,real_s12,img_s12,s22
9.700000e-008,5.403961e-002,-1.602045e-002,3.183788e-003
9.800000e-008,5.448069e-002,-1.532611e-002,3.210426e-003
9.900000e-008,5.485071e-002,-1.460714e-002,3.229848e-003
1.000000e-007,5.514901e-002,-1.387044e-002,3.242118e-003
1.010000e-007,5.537553e-002,-1.312282e-002,3.247357e-003
1.020000e-007,5.553083e-002,-1.237095e-002,3.245745e-003
1.030000e-007,5.561605e-002,-1.162131e-002,3.237510e-003
1.040000e-007,5.563288e-002,-1.088014e-002,3.222932e-003
1.050000e-007,5.558352e-002,-1.015337e-002,3.202333e-003
1.060000e-007,5.547068e-002,-9.446641e-003,3.176077e-003
1.070000e-007,5.529747e-002,-8.765213e-003,3.144563e-003
1.080000e-007,5.506742e-002,-8.113953e-003,3.108222e-003
1.090000e-007,5.478444e-002,-7.497311e-003,3.067509e-003
1.100000e-007,5.445271e-002,-6.919289e-003,3.022904e-003
1.110000e-007,5.407672e-002,-6.383429e-003,2.974901e-003
1.120000e-007,5.366113e-002,-5.892796e-003,2.924009e-003
1.130000e-007,5.321082e-002,-5.449968e-003,2.870740e-003
1.140000e-007,5.273077e-002,-5.057033e-003,2.815614e-003
1.150000e-007,5.222604e-002,-4.715587e-003,2.759146e-003
1.160000e-007,5.170173e-002,-4.426737e-003,2.701846e-003
1.170000e-007,5.116293e-002,-4.191110e-003,2.644213e-003
1.180000e-007,5.061467e-002,-4.008862e-003,2.586734e-003
1.190000e-007,5.006190e-002,-3.879697e-003,2.529877e-003
1.200000e-007,4.950942e-002,-3.802878e-003,2.474088e-003
1.210000e-007,4.896188e-002,-3.777257e-003,2.419792e-003
1.220000e-007,4.842373e-002,-3.801292e-003,2.367385e-003
1.230000e-007,4.789916e-002,-3.873075e-003,2.317233e-003
1.240000e-007,4.739214e-002,-3.990363e-003,2.269675e-003
1.250000e-007,4.690633e-002,-4.150606e-003,2.225011e-003
1.260000e-007,4.644509e-002,-4.350981e-003,2.183512e-003
1.270000e-007,4.601146e-002,-4.588422e-003,2.145409e-003
1.280000e-007,4.560816e-002,-4.859658e-003,2.110900e-003
1.290000e-007,4.523753e-002,-5.161244e-003,2.080144e-003
1.300000e-007,4.490157e-002,-5.489600e-003,2.053265e-003
1.310000e-007,4.460193e-002,-5.841042e-003,2.030349e-003
1.320000e-007,4.433988e-002,-6.211818e-003,2.011447e-003
1.330000e-007,4.411634e-002,-6.598142e-003,1.996573e-003
1.340000e-007,4.393187e-002,-6.996227e-003,1.985708e-003
1.350000e-007,4.378667e-002,-7.402318e-003,1.978800e-003
1.360000e-007,4.368064e-002,-7.812720e-003,1.975767e-003
1.370000e-007,4.361331e-002,-8.223829e-003,1.976495e-003
1.380000e-007,4.358393e-002,-8.632160e-003,1.980843e-003
1.390000e-007,4.359143e-002,-9.034370e-003,1.988645e-003
1.400000e-007,4.363450e-002,-9.427281e-003,1.999714e-003
1.410000e-007,4.371155e-002,-9.807905e-003,2.013837e-003
1.420000e-007,4.382076e-002,-1.017346e-002,2.030788e-003
1.430000e-007,4.396011e-002,-1.052138e-002,2.050321e-003
1.440000e-007,4.412740e-002,-1.084934e-002,2.072180e-003
1.450000e-007,4.432025e-002,-1.115528e-002,2.096096e-003
1.460000e-007,4.453617e-002,-1.143736e-002,2.121793e-003
1.470000e-007,4.477254e-002,-1.169403e-002,2.148991e-003
1.480000e-007,4.502668e-002,-1.192400e-002,2.177405e-003
1.490000e-007,4.529583e-002,-1.212625e-002,2.206750e-003
1.500000e-007,4.557721e-002,-1.230004e-002,2.236744e-003
1.510000e-007,4.586804e-002,-1.244487e-002,2.267109e-003
1.520000e-007,4.616554e-002,-1.256051e-002,2.297573e-003
1.530000e-007,4.646698e-002,-1.264700e-002,2.327873e-003
1.540000e-007,4.676968e-002,-1.270461e-002,2.357757e-003
1.550000e-007,4.707105e-002,-1.273385e-002,2.386985e-003
1.560000e-007,4.736861e-002,-1.273544e-002,2.415329e-003
1.570000e-007,4.765997e-002,-1.271031e-002,2.442580e-003
1.580000e-007,4.794290e-002,-1.265960e-002,2.468542e-003
1.590000e-007,4.821531e-002,-1.258462e-002,2.493040e-003
1.600000e-007,4.847525e-002,-1.248682e-002,2.515913e-003
1.610000e-007,4.872097e-002,-1.236781e-002,2.537024e-003
1.620000e-007,4.895090e-002,-1.222932e-002,2.556253e-003
1.630000e-007,4.916363e-002,-1.207319e-002,2.573500e-003
1.640000e-007,4.935797e-002,-1.190134e-002,2.588686e-003
1.650000e-007,4.953290e-002,-1.171575e-002,2.601752e-003
1.660000e-007,4.968763e-002,-1.151846e-002,2.612658e-003
1.670000e-007,4.982155e-002,-1.131154e-002,2.621386e-003
1.680000e-007,4.993424e-002,-1.109704e-002,2.627934e-003
1.690000e-007,5.002547e-002,-1.087705e-002,2.632321e-003
1.700000e-007,5.009523e-002,-1.065360e-002,2.634583e-003
1.710000e-007,5.014366e-002,-1.042868e-002,2.634770e-003
1.720000e-007,5.017108e-002,-1.020426e-002,2.632953e-003
1.730000e-007,5.017799e-002,-9.982189e-003,2.629212e-003
1.740000e-007,5.016503e-002,-9.764268e-003,2.623645e-003
1.750000e-007,5.013298e-002,-9.552187e-003,2.616359e-003
1.760000e-007,5.008279e-002,-9.347531e-003,2.607474e-003
1.770000e-007,5.001549e-002,-9.151768e-003,2.597117e-003
1.780000e-007,4.993223e-002,-8.966242e-003,2.585426e-003
1.790000e-007,4.983428e-002,-8.792163e-003,2.572543e-003
1.800000e-007,4.972294e-002,-8.630604e-003,2.558617e-003
1.810000e-007,4.959963e-002,-8.482496e-003,2.543799e-003
1.820000e-007,4.946579e-002,-8.348624e-003,2.528244e-003
1.830000e-007,4.932291e-002,-8.229627e-003,2.512107e-003
1.840000e-007,4.917250e-002,-8.125996e-003,2.495543e-003
1.850000e-007,4.901609e-002,-8.038076e-003,2.478705e-003
1.860000e-007,4.885520e-002,-7.966068e-003,2.461743e-003
1.870000e-007,4.869134e-002,-7.910033e-003,2.444804e-003
1.880000e-007,4.852599e-002,-7.869893e-003,2.428028e-003
1.890000e-007,4.836060e-002,-7.845442e-003,2.411551e-003
1.900000e-007,4.819656e-002,-7.836347e-003,2.395499e-003
1.910000e-007,4.803520e-002,-7.842157e-003,2.379993e-003
1.920000e-007,4.787779e-002,-7.862311e-003,2.365144e-003
1.930000e-007,4.772552e-002,-7.896148e-003,2.351054e-003
1.940000e-007,4.757950e-002,-7.942913e-003,2.337814e-003
1.950000e-007,4.744075e-002,-8.001768e-003,2.325506e-003
1.960000e-007,4.731017e-002,-8.071803e-003,2.314201e-003
1.970000e-007,4.718859e-002,-8.152044e-003,2.303959e-003
1.980000e-007,4.707673e-002,-8.241466e-003,2.294830e-003
1.990000e-007,4.697519e-002,-8.339000e-003,2.286851e-003
2.000000e-007,4.688447e-002,-8.443547e-003,2.280050e-003
2.010000e-007,4.680497e-002,-8.553985e-003,2.274442e-003
2.020000e-007,4.673697e-002,-8.669183e-003,2.270034e-003
2.030000e-007,4.668065e-002,-8.788007e-003,2.266821e-003
2.040000e-007,4.663608e-002,-8.909331e-003,2.264789e-003
2.050000e-007,4.660324e-002,-9.032050e-003,2.263913e-003
2.060000e-007,4.658199e-002,-9.155080e-003,2.264162e-003
2.070000e-007,4.657212e-002,-9.277377e-003,2.265493e-003
2.080000e-007,4.657332e-002,-9.397935e-003,2.267858e-003
2.090000e-007,4.658521e-002,-9.515798e-003,2.271201e-003
2.100000e-007,4.660731e-002,-9.630067e-003,2.275460e-003
2.110000e-007,4.663908e-002,-9.739903e-003,2.280568e-003
2.120000e-007,4.667994e-002,-9.844534e-003,2.286451e-003
2.130000e-007,4.672922e-002,-9.943256e-003,2.293034e-003
2.140000e-007,4.678622e-002,-1.003544e-002,2.300236e-003
2.150000e-007,4.685019e-002,-1.012054e-002,2.307976e-003
2.160000e-007,4.692035e-002,-1.019807e-002,2.316169e-003
2.170000e-007,4.699591e-002,-1.026766e-002,2.324731e-003
2.180000e-007,4.707604e-002,-1.032897e-002,2.333576e-003
2.190000e-007,4.715991e-002,-1.038178e-002,2.342620e-003
2.200000e-007,4.724669e-002,-1.042594e-002,2.351780e-003
2.210000e-007,4.733554e-002,-1.046137e-002,2.360975e-003
2.220000e-007,4.742564e-002,-1.048808e-002,2.370124e-003
2.230000e-007,4.751620e-002,-1.050613e-002,2.379154e-003
2.240000e-007,4.760644e-002,-1.051567e-002,2.387991e-003
2.250000e-007,4.769560e-002,-1.051692e-002,2.396568e-003
2.260000e-007,4.778297e-002,-1.051015e-002,2.404821e-003
2.270000e-007,4.786788e-002,-1.049569e-002,2.412691e-003
2.280000e-007,4.794970e-002,-1.047392e-002,2.420126e-003
2.290000e-007,4.802785e-002,-1.044529e-002,2.427077e-003
2.300000e-007,4.810179e-002,-1.041027e-002,2.433502e-003
2.310000e-007,4.817104e-002,-1.036936e-002,2.439365e-003
2.320000e-007,4.823519e-002,-1.032312e-002,2.444635e-003
2.330000e-007,4.829387e-002,-1.027213e-002,2.449289e-003
2.340000e-007,4.834676e-002,-1.021697e-002,2.453309e-003
2.350000e-007,4.839364e-002,-1.015824e-002,2.456681e-003
2.360000e-007,4.843430e-002,-1.009658e-002,2.459401e-003
2.370000e-007,4.846861e-002,-1.003259e-002,2.461466e-003
2.380000e-007,4.849652e-002,-9.966902e-003,2.462882e-003
2.390000e-007,4.851799e-002,-9.900118e-003,2.463660e-003
2.400000e-007,4.853308e-002,-9.832842e-003,2.463814e-003
2.410000e-007,4.854187e-002,-9.765657e-003,2.463364e-003
2.420000e-007,4.854451e-002,-9.699125e-003,2.462335e-003
2.430000e-007,4.854118e-002,-9.633785e-003,2.460756e-003
2.440000e-007,4.853212e-002,-9.570145e-003,2.458658e-003
2.450000e-007,4.851760e-002,-9.508683e-003,2.456076e-003
2.460000e-007,4.849793e-002,-9.449842e-003,2.453050e-003
2.470000e-007,4.847346e-002,-9.394027e-003,2.449619e-003
2.480000e-007,4.844455e-002,-9.341604e-003,2.445826e-003
2.490000e-007,4.841159e-002,-9.292899e-003,2.441716e-003
2.500000e-007,4.837502e-002,-9.248194e-003,2.437333e-003
2.510000e-007,4.833525e-002,-9.207727e-003,2.432725e-003
2.520000e-007,4.829273e-002,-9.171695e-003,2.427937e-003
2.530000e-007,4.824792e-002,-9.140248e-003,2.423016e-003
2.540000e-007,4.820128e-002,-9.113494e-003,2.418008e-003
2.550000e-007,4.815324e-002,-9.091497e-003,2.412958e-003
2.560000e-007,4.810428e-002,-9.074280e-003,2.407910e-003
