tempo,real_s12,img_s12,s22
0.000000e+000,0.000000e+000,0.000000e+000,0.000000e+000
1.000000e-009,6.715220e-005,-4.478357e-003,1.669614e-005
2.000000e-009,2.923057e-004,-8.871400e-003,7.230218e-005
3.000000e-009,6.695064e-004,-1.317475e-002,1.646593e-004
4.000000e-009,1.192755e-003,-1.738432e-002,2.916474e-004
5.000000e-009,1.856017e-003,-2.149636e-002,4.511871e-004
6.000000e-009,2.653237e-003,-2.550740e-002,6.412404e-004
7.000000e-009,3.578348e-003,-2.941427e-002,8.598121e-004
8.000000e-009,4.625282e-003,-3.321411e-002,1.104951e-003
9.000000e-009,5.787983e-003,-3.690432e-002,1.374750e-003
1.000000e-008,7.060412e-003,-4.048260e-002,1.667350e-003
1.100000e-008,8.436562e-003,-4.394690e-002,1.980936e-003
1.200000e-008,9.910465e-003,-4.729548e-002,2.313742e-003
1.300000e-008,1.147620e-002,-5.052681e-002,2.664050e-003
1.400000e-008,1.312789e-002,-5.363965e-002,3.030189e-003
1.500000e-008,1.485976e-002,-5.663299e-002,3.410540e-003
1.600000e-008,1.666605e-002,-5.950606e-002,3.803532e-003
1.700000e-008,1.854113e-002,-6.225833e-002,4.207643e-003
1.800000e-008,2.047942e-002,-6.488948e-002,4.621402e-003
1.900000e-008,2.247545e-002,-6.739943e-002,5.043390e-003
2.000000e-008,2.452385e-002,-6.978829e-002,5.472236e-003
2.100000e-008,2.661933e-002,-7.205637e-002,5.906621e-003
2.200000e-008,2.875675e-002,-7.420418e-002,6.345275e-003
2.300000e-008,3.093105e-002,-7.623242e-002,6.786980e-003
2.400000e-008,3.313728e-002,-7.814196e-002,7.230568e-003
2.500000e-008,3.537066e-002,-7.993384e-002,7.674919e-003
2.600000e-008,3.762648e-002,-8.160926e-002,8.118965e-003
2.700000e-008,3.990019e-002,-8.316958e-002,8.561686e-003
2.800000e-008,4.218738e-002,-8.461631e-002,9.002112e-003
2.900000e-008,4.448375e-002,-8.595108e-002,9.439320e-003
3.000000e-008,4.678516e-002,-8.717566e-002,9.872436e-003
3.100000e-008,4.908759e-002,-8.829196e-002,1.030063e-002
3.200000e-008,5.138717e-002,-8.930197e-002,1.072313e-002
3.300000e-008,5.368019e-002,-9.020781e-002,1.113919e-002
3.400000e-008,5.596305e-002,-9.101171e-002,1.154813e-002
3.500000e-008,5.823232e-002,-9.171597e-002,1.194930e-002
3.600000e-008,6.048471e-002,-9.232297e-002,1.234210e-002
3.700000e-008,6.271707e-002,-9.283520e-002,1.272597e-002
3.800000e-008,6.492641e-002,-9.325520e-002,1.310041e-002
3.900000e-008,6.710986e-002,-9.358556e-002,1.346492e-002
4.000000e-008,6.926473e-002,-9.382897e-002,1.381908e-002
4.100000e-008,7.138845e-002,-9.398813e-002,1.416250e-002
4.200000e-008,7.347860e-002,-9.406580e-002,1.449481e-002
4.300000e-008,7.553290e-002,-9.406478e-002,1.481570e-002
4.400000e-008,7.754922e-002,-9.398790e-002,1.512489e-002
4.500000e-008,7.952556e-002,-9.383802e-002,1.542212e-002
4.600000e-008,8.146006e-002,-9.361801e-002,1.570719e-002
4.700000e-008,8.335102e-002,-9.333077e-002,1.597991e-002
4.800000e-008,8.519683e-002,-9.297918e-002,1.624014e-002
4.900000e-008,8.699605e-002,-9.256617e-002,1.648775e-002
5.000000e-008,8.874735e-002,-9.209463e-002,1.672267e-002
5.100000e-008,9.044954e-002,-9.156746e-002,1.694483e-002
5.200000e-008,9.210155e-002,-9.098755e-002,1.715421e-002
5.300000e-008,9.370244e-002,-9.035776e-002,1.735079e-002
5.400000e-008,9.525136e-002,-8.968096e-002,1.753461e-002
5.500000e-008,9.674761e-002,-8.895997e-002,1.770571e-002
5.600000e-008,9.819060e-002,-8.819759e-002,1.786415e-002
5.700000e-008,9.957983e-002,-8.739660e-002,1.801004e-002
5.800000e-008,1.009149e-001,-8.655972e-002,1.814348e-002
5.900000e-008,1.021956e-001,-8.568967e-002,1.826461e-002
6.000000e-008,1.034217e-001,-8.478908e-002,1.837359e-002
6.100000e-008,1.045932e-001,-8.386059e-002,1.847057e-002
6.200000e-008,1.057100e-001,-8.290674e-002,1.855575e-002
6.300000e-008,1.067722e-001,-8.193007e-002,1.862934e-002
6.400000e-008,1.077802e-001,-8.093302e-002,1.869155e-002
6.500000e-008,1.087340e-001,-7.991802e-002,1.874261e-002
6.600000e-008,1.096342e-001,-7.888741e-002,1.878277e-002
6.700000e-008,1.104811e-001,-7.784348e-002,1.881229e-002
6.800000e-008,1.112753e-001,-7.678848e-002,1.883144e-002
6.900000e-008,1.120173e-001,-7.572457e-002,1.884049e-002
7.000000e-008,1.127078e-001,-7.465386e-002,1.883973e-002
7.100000e-008,1.133474e-001,-7.357839e-002,1.882946e-002
7.200000e-008,1.139370e-001,-7.250016e-002,1.880999e-002
7.300000e-008,1.144774e-001,-7.142105e-002,1.878161e-002
7.400000e-008,1.149695e-001,-7.034293e-002,1.874465e-002
7.500000e-008,1.154141e-001,-6.926757e-002,1.869943e-002
7.600000e-008,1.158124e-001,-6.819667e-002,1.864627e-002
7.700000e-008,1.161652e-001,-6.713187e-002,1.858551e-002
7.800000e-008,1.164736e-001,-6.607475e-002,1.851746e-002
7.900000e-008,1.167387e-001,-6.502680e-002,1.844247e-002
8.000000e-008,1.169618e-001,-6.398945e-002,1.836087e-002
8.100000e-008,1.171438e-001,-6.296407e-002,1.827299e-002
8.200000e-008,1.172860e-001,-6.195194e-002,1.817916e-002
8.300000e-008,1.173896e-001,-6.095429e-002,1.807973e-002
8.400000e-008,1.174559e-001,-5.997228e-002,1.797502e-002
8.500000e-008,1.174860e-001,-5.900699e-002,1.786537e-002
8.600000e-008,1.174812e-001,-5.805943e-002,1.775110e-002
8.700000e-008,1.174429e-001,-5.713057e-002,1.763253e-002
8.800000e-008,1.173722e-001,-5.622129e-002,1.751000e-002
8.900000e-008,1.172706e-001,-5.533240e-002,1.738381e-002
9.000000e-008,1.171392e-001,-5.446468e-002,1.725429e-002
9.100000e-008,1.169794e-001,-5.361880e-002,1.712174e-002
9.200000e-008,1.167925e-001,-5.279542e-002,1.698647e-002
9.300000e-008,1.165798e-001,-5.199509e-002,1.684877e-002
9.400000e-008,1.163426e-001,-5.121834e-002,1.670894e-002
9.500000e-008,1.160821e-001,-5.046561e-002,1.656727e-002
9.600000e-008,1.157997e-001,-4.973730e-002,1.642403e-002
9.700000e-008,1.154967e-001,-4.903377e-002,1.627951e-002
9.800000e-008,1.151742e-001,-4.835529e-002,1.613396e-002
9.900000e-008,1.148336e-001,-4.770210e-002,1.598765e-002
1.000000e-007,1.144761e-001,-4.707438e-002,1.584083e-002
1.010000e-007,1.141028e-001,-4.647228e-002,1.569375e-002
1.020000e-007,1.137151e-001,-4.589588e-002,1.554664e-002
1.030000e-007,1.133140e-001,-4.534522e-002,1.539973e-002
1.040000e-007,1.129008e-001,-4.482029e-002,1.525325e-002
1.050000e-007,1.124765e-001,-4.432105e-002,1.510740e-002
1.060000e-007,1.120423e-001,-4.384742e-002,1.496240e-002
1.070000e-007,1.115994e-001,-4.339925e-002,1.481844e-002
1.080000e-007,1.111486e-001,-4.297639e-002,1.467571e-002
1.090000e-007,1.106912e-001,-4.257863e-002,1.453439e-002
1.100000e-007,1.102281e-001,-4.220574e-002,1.439465e-002
1.110000e-007,1.097603e-001,-4.185744e-002,1.425665e-002
1.120000e-007,1.092888e-001,-4.153343e-002,1.412056e-002
1.130000e-007,1.088145e-001,-4.123338e-002,1.398652e-002
1.140000e-007,1.083382e-001,-4.095692e-002,1.385466e-002
1.150000e-007,1.078610e-001,-4.070367e-002,1.372512e-002
1.160000e-007,1.073835e-001,-4.047321e-002,1.359803e-002
1.170000e-007,1.069067e-001,-4.026511e-002,1.347348e-002
1.180000e-007,1.064313e-001,-4.007891e-002,1.335160e-002
1.190000e-007,1.059581e-001,-3.991414e-002,1.323248e-002
1.200000e-007,1.054877e-001,-3.977028e-002,1.311620e-002
1.210000e-007,1.050210e-001,-3.964684e-002,1.300286e-002
1.220000e-007,1.045584e-001,-3.954327e-002,1.289253e-002
1.230000e-007,1.041008e-001,-3.945904e-002,1.278527e-002
1.240000e-007,1.036486e-001,-3.939359e-002,1.268115e-002
1.250000e-007,1.032024e-001,-3.934635e-002,1.258022e-002
1.260000e-007,1.027628e-001,-3.931673e-002,1.248252e-002
1.270000e-007,1.023303e-001,-3.930415e-002,1.238810e-002
1.280000e-007,1.019053e-001,-3.930802e-002,1.229698e-002
1.290000e-007,1.014883e-001,-3.932774e-002,1.220920e-002
1.300000e-007,1.010797e-001,-3.936269e-002,1.212478e-002
1.310000e-007,1.006799e-001,-3.941227e-002,1.204372e-002
1.320000e-007,1.002893e-001,-3.947586e-002,1.196604e-002
1.330000e-007,9.990811e-002,-3.955286e-002,1.189173e-002
1.340000e-007,9.953673e-002,-3.964264e-002,1.182081e-002
1.350000e-007,9.917540e-002,-3.974459e-002,1.175324e-002
1.360000e-007,9.882437e-002,-3.985810e-002,1.168904e-002
1.370000e-007,9.848386e-002,-3.998257e-002,1.162816e-002
1.380000e-007,9.815407e-002,-4.011737e-002,1.157060e-002
1.390000e-007,9.783516e-002,-4.026192e-002,1.151631e-002
1.400000e-007,9.752729e-002,-4.041562e-002,1.146528e-002
1.410000e-007,9.723057e-002,-4.057788e-002,1.141746e-002
1.420000e-007,9.694510e-002,-4.074810e-002,1.137282e-002
1.430000e-007,9.667095e-002,-4.092573e-002,1.133130e-002
1.440000e-007,9.640819e-002,-4.111019e-002,1.129287e-002
1.450000e-007,9.615683e-002,-4.130092e-002,1.125746e-002
1.460000e-007,9.591691e-002,-4.149737e-002,1.122504e-002
1.470000e-007,9.568839e-002,-4.169901e-002,1.119553e-002
1.480000e-007,9.547127e-002,-4.190531e-002,1.116888e-002
1.490000e-007,9.526550e-002,-4.211575e-002,1.114503e-002
1.500000e-007,9.507100e-002,-4.232983e-002,1.112392e-002
1.510000e-007,9.488771e-002,-4.254706e-002,1.110546e-002
1.520000e-007,9.471553e-002,-4.276695e-002,1.108961e-002
1.530000e-007,9.455435e-002,-4.298903e-002,1.107629e-002
1.540000e-007,9.440404e-002,-4.321287e-002,1.106542e-002
1.550000e-007,9.426446e-002,-4.343800e-002,1.105693e-002
1.560000e-007,9.413547e-002,-4.366401e-002,1.105075e-002
1.570000e-007,9.401689e-002,-4.389049e-002,1.104680e-002
1.580000e-007,9.390855e-002,-4.411703e-002,1.104500e-002
1.590000e-007,9.381027e-002,-4.434325e-002,1.104528e-002
1.600000e-007,9.372185e-002,-4.456878e-002,1.104756e-002
1.610000e-007,9.364307e-002,-4.479327e-002,1.105177e-002
1.620000e-007,9.357374e-002,-4.501637e-002,1.105781e-002
1.630000e-007,9.351361e-002,-4.523776e-002,1.106561e-002
1.640000e-007,9.346246e-002,-4.545713e-002,1.107510e-002
1.650000e-007,9.342006e-002,-4.567417e-002,1.108620e-002
1.660000e-007,9.338616e-002,-4.588862e-002,1.109882e-002
1.670000e-007,9.336050e-002,-4.610019e-002,1.111288e-002
1.680000e-007,9.334284e-002,-4.630865e-002,1.112832e-002
1.690000e-007,9.333292e-002,-4.651374e-002,1.114505e-002
1.700000e-007,9.333046e-002,-4.671524e-002,1.116299e-002
1.710000e-007,9.333522e-002,-4.691295e-002,1.118207e-002
1.720000e-007,9.334692e-002,-4.710667e-002,1.120222e-002
1.730000e-007,9.336529e-002,-4.729622e-002,1.122336e-002
1.740000e-007,9.339005e-002,-4.748142e-002,1.124541e-002
1.750000e-007,9.342094e-002,-4.766212e-002,1.126831e-002
1.760000e-007,9.345768e-002,-4.783818e-002,1.129199e-002
1.770000e-007,9.350001e-002,-4.800947e-002,1.131637e-002
1.780000e-007,9.354764e-002,-4.817588e-002,1.134139e-002
1.790000e-007,9.360030e-002,-4.833729e-002,1.136698e-002
1.800000e-007,9.365773e-002,-4.849363e-002,1.139308e-002
1.810000e-007,9.371965e-002,-4.864480e-002,1.141962e-002
1.820000e-007,9.378581e-002,-4.879074e-002,1.144654e-002
1.830000e-007,9.385593e-002,-4.893139e-002,1.147378e-002
1.840000e-007,9.392975e-002,-4.906671e-002,1.150128e-002
1.850000e-007,9.400702e-002,-4.919667e-002,1.152899e-002
1.860000e-007,9.408748e-002,-4.932122e-002,1.155685e-002
1.870000e-007,9.417088e-002,-4.944037e-002,1.158480e-002
1.880000e-007,9.425697e-002,-4.955410e-002,1.161280e-002
1.890000e-007,9.434552e-002,-4.966243e-002,1.164079e-002
1.900000e-007,9.443628e-002,-4.976535e-002,1.166874e-002
1.910000e-007,9.452903e-002,-4.986290e-002,1.169658e-002
1.920000e-007,9.462352e-002,-4.995510e-002,1.172428e-002
1.930000e-007,9.471955e-002,-5.004200e-002,1.175180e-002
1.940000e-007,9.481689e-002,-5.012363e-002,1.177909e-002
1.950000e-007,9.491534e-002,-5.020004e-002,1.180611e-002
1.960000e-007,9.501468e-002,-5.027131e-002,1.183284e-002
1.970000e-007,9.511472e-002,-5.033749e-002,1.185923e-002
1.980000e-007,9.521527e-002,-5.039866e-002,1.188525e-002
1.990000e-007,9.531613e-002,-5.045490e-002,1.191087e-002
2.000000e-007,9.541712e-002,-5.050628e-002,1.193606e-002
2.010000e-007,9.551808e-002,-5.055289e-002,1.196079e-002
2.020000e-007,9.561883e-002,-5.059484e-002,1.198504e-002
2.030000e-007,9.571921e-002,-5.063222e-002,1.200879e-002
2.040000e-007,9.581906e-002,-5.066513e-002,1.203200e-002
2.050000e-007,9.591823e-002,-5.069367e-002,1.205467e-002
2.060000e-007,9.601659e-002,-5.071796e-002,1.207677e-002
2.070000e-007,9.611399e-002,-5.073810e-002,1.209828e-002
2.080000e-007,9.621031e-002,-5.075423e-002,1.211919e-002
2.090000e-007,9.630543e-002,-5.076644e-002,1.213949e-002
2.100000e-007,9.639922e-002,-5.077487e-002,1.215916e-002
2.110000e-007,9.649158e-002,-5.077963e-002,1.217819e-002
2.120000e-007,9.658240e-002,-5.078085e-002,1.219657e-002
2.130000e-007,9.667158e-002,-5.077866e-002,1.221430e-002
2.140000e-007,9.675904e-002,-5.077319e-002,1.223137e-002
2.150000e-007,9.684469e-002,-5.076455e-002,1.224777e-002
2.160000e-007,9.692845e-002,-5.075288e-002,1.226349e-002
2.170000e-007,9.701024e-002,-5.073831e-002,1.227855e-002
2.180000e-007,9.709001e-002,-5.072097e-002,1.229292e-002
2.190000e-007,9.716769e-002,-5.070099e-002,1.230663e-002
2.200000e-007,9.724322e-002,-5.067849e-002,1.231965e-002
2.210000e-007,9.731655e-002,-5.065360e-002,1.233201e-002
2.220000e-007,9.738765e-002,-5.062647e-002,1.234369e-002
2.230000e-007,9.745647e-002,-5.059720e-002,1.235472e-002
2.240000e-007,9.752297e-002,-5.056592e-002,1.236508e-002
2.250000e-007,9.758714e-002,-5.053277e-002,1.237479e-002
2.260000e-007,9.764894e-002,-5.049787e-002,1.238385e-002
2.270000e-007,9.770836e-002,-5.046133e-002,1.239227e-002
2.280000e-007,9.776538e-002,-5.042328e-002,1.240006e-002
2.290000e-007,9.782000e-002,-5.038384e-002,1.240723e-002
2.300000e-007,9.787220e-002,-5.034312e-002,1.241380e-002
2.310000e-007,9.792200e-002,-5.030124e-002,1.241976e-002
2.320000e-007,9.796938e-002,-5.025831e-002,1.242513e-002
2.330000e-007,9.801436e-002,-5.021445e-002,1.242993e-002
2.340000e-007,9.805696e-002,-5.016975e-002,1.243416e-002
2.350000e-007,9.809717e-002,-5.012432e-002,1.243784e-002
2.360000e-007,9.813503e-002,-5.007828e-002,1.244099e-002
2.370000e-007,9.817056e-002,-5.003171e-002,1.244361e-002
2.380000e-007,9.820377e-002,-4.998471e-002,1.244572e-002
2.390000e-007,9.823469e-002,-4.993738e-002,1.244734e-002
2.400000e-007,9.826337e-002,-4.988982e-002,1.244848e-002
2.410000e-007,9.828982e-002,-4.984210e-002,1.244915e-002
2.420000e-007,9.831409e-002,-4.979432e-002,1.244938e-002
2.430000e-007,9.833621e-002,-4.974656e-002,1.244917e-002
2.440000e-007,9.835622e-002,-4.969889e-002,1.244855e-002
2.450000e-007,9.837417e-002,-4.965140e-002,1.244753e-002
2.460000e-007,9.839010e-002,-4.960416e-002,1.244612e-002
2.470000e-007,9.840406e-002,-4.955724e-002,1.244434e-002
2.480000e-007,9.841609e-002,-4.951071e-002,1.244221e-002
2.490000e-007,9.842625e-002,-4.946462e-002,1.243974e-002
2.500000e-007,9.843457e-002,-4.941905e-002,1.243696e-002
2.510000e-007,9.844113e-002,-4.937405e-002,1.243386e-002
2.520000e-007,9.844596e-002,-4.932968e-002,1.243049e-002
2.530000e-007,9.844913e-002,-4.928598e-002,1.242684e-002
2.540000e-007,9.845069e-002,-4.924301e-002,1.242293e-002
2.550000e-007,9.845069e-002,-4.920082e-002,1.241878e-002
2.560000e-007,9.844919e-002,-4.915944e-002,1.241441e-002
2.570000e-007,9.844625e-002,-4.911891e-002,1.240983e-002
2.580000e-007,9.844192e-002,-4.907928e-002,1.240505e-002
2.590000e-007,9.843626e-002,-4.904058e-002,1.240010e-002
2.600000e-007,9.842933e-002,-4.900284e-002,1.239498e-002
2.610000e-007,9.842119e-002,-4.896609e-002,1.238971e-002
2.620000e-007,9.841189e-002,-4.893036e-002,1.238431e-002
